Ensembl_ID,Gene_symbol
ENSG00000006740,ARHGAP44
ENSG00000023171,GRAMD1B
ENSG00000048828,FAM120A
ENSG00000065609,SNAP91
ENSG00000070961,ATP2B1
ENSG00000072134,EPN2
ENSG00000075035,WSCD2
ENSG00000079841,RIMS1
ENSG00000080644,CHRNA3
ENSG00000080854,IGSF9B
ENSG00000090975,PITPNM2
ENSG00000100346,CACNA1I
ENSG00000101445,PPP1R16B
ENSG00000102858,MGRN1
ENSG00000102882,MAPK3
ENSG00000103723,AP3B2
ENSG00000109452,INPP4B
ENSG00000109956,B3GAT1
ENSG00000110931,CAMKK2
ENSG00000112659,CUL9
ENSG00000112893,MAN2A1
ENSG00000114439,BBX
ENSG00000115073,ACTR1B
ENSG00000115896,PLCL1
ENSG00000116329,OPRD1
ENSG00000118689,FOXO3
ENSG00000119121,TRPM6
ENSG00000120451,SNX19
ENSG00000120738,EGR1
ENSG00000120899,PTK2B
ENSG00000121749,TBC1D15
ENSG00000122490,PQLC1
ENSG00000122584,NXPH1
ENSG00000126456,IRF3
ENSG00000130167,TSPAN16
ENSG00000131374,TBC1D5
ENSG00000133687,TMTC1
ENSG00000133878,DUSP26
ENSG00000135298,BAI3
ENSG00000136631,VPS45
ENSG00000136928,GABBR2
ENSG00000137843,PAK6
ENSG00000138311,ZNF365
ENSG00000138430,OLA1
ENSG00000138821,SLC39A8
ENSG00000140526,ABHD2
ENSG00000140564,FURIN
ENSG00000140945,CDH13
ENSG00000144290,SLC4A10
ENSG00000144619,CNTN4
ENSG00000144642,RBMS3
ENSG00000145335,SNCA
ENSG00000146416,AIG1
ENSG00000149295,DRD2
ENSG00000149527,PLCH2
ENSG00000151067,CACNA1C
ENSG00000151320,AKAP6
ENSG00000152092,ASTN1
ENSG00000152127,MGAT5
ENSG00000152822,GRM1
ENSG00000152894,PTPRK
ENSG00000152932,RAB3C
ENSG00000153944,MSI2
ENSG00000156269,NAA11
ENSG00000157680,DGKI
ENSG00000158445,KCNB1
ENSG00000159640,ACE
ENSG00000162869,PPP1R21
ENSG00000162989,KCNJ3
ENSG00000164100,NDST3
ENSG00000164588,HCN1
ENSG00000165995,CACNB2
ENSG00000167522,ANKRD11
ENSG00000167588,GPD1
ENSG00000168016,TRANK1
ENSG00000168993,CPLX1
ENSG00000170571,EMB
ENSG00000170624,SGCD
ENSG00000171045,TSNARE1
ENSG00000171604,CXXC5
ENSG00000171735,CAMTA1
ENSG00000171877,FRMD5
ENSG00000172260,NEGR1
ENSG00000172461,FUT9
ENSG00000173208,ABCD2
ENSG00000174437,ATP2A2
ENSG00000175602,CCDC85B
ENSG00000176454,LPCAT4
ENSG00000177565,TBL1XR1
ENSG00000178538,CA8
ENSG00000179912,R3HDM2
ENSG00000182447,OTOL1
ENSG00000182732,RGS6
ENSG00000183117,CSMD1
ENSG00000183166,CALN1
ENSG00000183454,GRIN2A
ENSG00000183715,OPCML
ENSG00000184349,EFNA5
ENSG00000184588,PDE4B
ENSG00000184752,NDUFA12
ENSG00000184903,IMMP2L
ENSG00000185189,NRBP2
ENSG00000185274,WBSCR17
ENSG00000185565,LSAMP
ENSG00000187398,LUZP2
ENSG00000188641,DPYD
ENSG00000189283,FHIT
ENSG00000196141,SPATS2L
ENSG00000198597,ZNF536
ENSG00000198822,GRM3
ENSG00000204683,C10orf113
ENSG00000251322,SHANK3
ENSG00000257242,C12orf79
ENSG00000257860,RP11-552I14.1
